id,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,mmm,quarter,fiscal_year
641,2020-12-01,344,7789379.0,416,9773232.0,Jagtial,Dec,Q3,2020
642,2020-12-01,1775,101218608.0,2174,126286106.0,Hanumakonda,Dec,Q3,2020
643,2020-12-01,428,9554012.0,457,9579862.0,Wanaparthy,Dec,Q3,2020
644,2020-12-01,986,27752706.0,947,30725742.0,Siddipet,Dec,Q3,2020
645,2020-12-01,270,11532231.0,329,13133485.0,Bhadradri Kothagudem,Dec,Q3,2020
646,2020-12-01,1232,29263859.0,1403,31343349.0,Mahabubnagar,Dec,Q3,2020
647,2020-12-01,317,4014287.0,313,3852147.0,Rajanna Sircilla,Dec,Q3,2020
648,2020-12-01,371,12503383.0,463,15525053.0,Adilabad,Dec,Q3,2020
649,2020-12-01,1741,41179158.0,2087,44821744.0,Nalgonda,Dec,Q3,2020
650,2020-12-01,334,7872988.0,365,12288108.0,Jangoan,Dec,Q3,2020
651,2020-12-01,500,14062784.0,429,13961250.0,Medak,Dec,Q3,2020
652,2020-12-01,503,15595943.0,582,16868604.0,Mancherial,Dec,Q3,2020
653,2020-12-01,1891,96353374.0,2487,98656120.0,Yadadri Bhuvanagiri,Dec,Q3,2020
654,2020-12-01,2877,214132651.0,3354,251767884.0,Sangareddy,Dec,Q3,2020
655,2020-12-01,1154,33456008.0,1355,38571467.0,Suryapet,Dec,Q3,2020
656,2020-12-01,127,3456418.0,146,3297808.0,Mulugu,Dec,Q3,2020
657,2020-12-01,955,39536355.0,1082,45437871.0,Karimnagar,Dec,Q3,2020
658,2020-12-01,2997,665356234.0,3121,648963721.0,Hyderabad,Dec,Q3,2020
659,2020-12-01,160,2977435.0,182,3200390.0,Nirmal,Dec,Q3,2020
660,2020-12-01,1630,75497225.0,1898,80565370.0,Khammam,Dec,Q3,2020
661,2020-12-01,288,8571375.0,325,9173345.0,Peddapalli,Dec,Q3,2020
662,2020-12-01,672,18867107.0,760,20196835.0,Kamareddy,Dec,Q3,2020
663,2020-12-01,43,1039265.0,43,1157235.0,Kumurambheem Asifabad,Dec,Q3,2020
664,2020-12-01,1463,43642023.0,1727,52091325.0,Nizamabad,Dec,Q3,2020
665,2020-12-01,10145,1166982096.0,11757,1307431183.0,Medchal_Malkajgiri,Dec,Q3,2020
666,2020-12-01,578,8169835.0,624,8571986.0,Vikarabad,Dec,Q3,2020
667,2020-12-01,500,7741152.0,581,8329820.0,Jogulamba Gadwal,Dec,Q3,2020
668,2020-12-01,229,5350370.0,290,7193178.0,Mahabubabad,Dec,Q3,2020
669,2020-12-01,202,1718829.0,233,2066770.0,Narayanpet,Dec,Q3,2020
670,2020-12-01,826,11688937.0,863,11959717.0,Nagarkurnool,Dec,Q3,2020
671,2020-12-01,292,6098924.0,280,6923601.0,Warangal,Dec,Q3,2020
