id,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,mmm,quarter,fiscal_year
1,2019-04-01,4533,59236363.0,0,0.0,Mahabubnagar,Apr,Q1,2019
2,2019-04-01,4151,41508762.0,0,0.0,Siddipet,Apr,Q1,2019
3,2019-04-01,2116,23674170.0,0,0.0,Rajanna Sircilla,Apr,Q1,2019
4,2019-04-01,1089,15915285.0,0,0.0,Mahabubabad,Apr,Q1,2019
5,2019-04-01,6133,82593256.0,0,0.0,Nalgonda,Apr,Q1,2019
6,2019-04-01,7413,113680902.0,0,0.0,Yadadri Bhuvanagiri,Apr,Q1,2019
7,2019-04-01,2748,58308650.0,0,0.0,Karimnagar,Apr,Q1,2019
8,2019-04-01,1384,27467135.0,0,0.0,Peddapalli,Apr,Q1,2019
9,2019-04-01,5268,724238098.0,0,0.0,Hyderabad,Apr,Q1,2019
10,2019-04-01,2726,21804047.0,0,0.0,Nagarkurnool,Apr,Q1,2019
11,2019-04-01,14140,1080766807.0,0,0.0,Medchal_Malkajgiri,Apr,Q1,2019
12,2019-04-01,563,5688052.0,0,0.0,Mulugu,Apr,Q1,2019
13,2019-04-01,542,12610700.0,0,0.0,Bhadradri Kothagudem,Apr,Q1,2019
14,2019-04-01,1943,26031616.0,0,0.0,Jagtial,Apr,Q1,2019
15,2019-04-01,2074,17019180.0,0,0.0,Jogulamba Gadwal,Apr,Q1,2019
16,2019-04-01,947,10639865.0,0,0.0,Warangal,Apr,Q1,2019
17,2019-04-01,4088,89082890.0,0,0.0,Khammam,Apr,Q1,2019
18,2019-04-01,8316,418960714.0,0,0.0,Sangareddy,Apr,Q1,2019
19,2019-04-01,2692,45800865.0,0,0.0,Suryapet,Apr,Q1,2019
20,2019-04-01,585,8302945.0,0,0.0,Kumurambheem Asifabad,Apr,Q1,2019
21,2019-04-01,1620,24326193.0,0,0.0,Mancherial,Apr,Q1,2019
22,2019-04-01,2876,26367902.0,0,0.0,Kamareddy,Apr,Q1,2019
23,2019-04-01,1043,12672655.0,0,0.0,Adilabad,Apr,Q1,2019
24,2019-04-01,2091,13948976.0,0,0.0,Narayanpet,Apr,Q1,2019
25,2019-04-01,2355,19227636.0,0,0.0,Wanaparthy,Apr,Q1,2019
26,2019-04-01,4562,60415544.0,0,0.0,Nizamabad,Apr,Q1,2019
27,2019-04-01,1767,18940764.0,0,0.0,Nirmal,Apr,Q1,2019
28,2019-04-01,4186,120047007.0,0,0.0,Hanumakonda,Apr,Q1,2019
29,2019-04-01,29436,2026355727.0,0,0.0,Rangareddy,Apr,Q1,2019
30,2019-04-01,2205,30584778.0,0,0.0,Medak,Apr,Q1,2019
31,2019-04-01,2372,30706161.0,0,0.0,Jangoan,Apr,Q1,2019
32,2019-04-01,2259,26570227.0,0,0.0,Vikarabad,Apr,Q1,2019
33,2019-05-01,1230,15030867.0,0,0.0,Warangal,May,Q1,2019
34,2019-05-01,3352,26907600.0,0,0.0,Kamareddy,May,Q1,2019
35,2019-05-01,2312,29341793.0,0,0.0,Jagtial,May,Q1,2019
36,2019-05-01,782,12779175.0,0,0.0,Bhadradri Kothagudem,May,Q1,2019
37,2019-05-01,616,6059339.0,0,0.0,Mulugu,May,Q1,2019
38,2019-05-01,2260,33143566.0,0,0.0,Mancherial,May,Q1,2019
39,2019-05-01,5095,93397223.0,0,0.0,Khammam,May,Q1,2019
40,2019-05-01,2400,68953812.0,0,0.0,Medak,May,Q1,2019
41,2019-05-01,4478,49926112.0,0,0.0,Siddipet,May,Q1,2019
42,2019-05-01,8787,161615746.0,0,0.0,Yadadri Bhuvanagiri,May,Q1,2019
43,2019-05-01,5047,71038874.0,0,0.0,Nizamabad,May,Q1,2019
44,2019-05-01,1615,11855661.0,0,0.0,Narayanpet,May,Q1,2019
45,2019-05-01,2968,38073544.0,0,0.0,Jangoan,May,Q1,2019
46,2019-05-01,3029,60448065.0,0,0.0,Karimnagar,May,Q1,2019
47,2019-05-01,1092,15177385.0,0,0.0,Adilabad,May,Q1,2019
48,2019-05-01,1788,20714061.0,0,0.0,Nirmal,May,Q1,2019
49,2019-05-01,6592,90267315.0,0,0.0,Nalgonda,May,Q1,2019
50,2019-05-01,3471,25935850.0,0,0.0,Nagarkurnool,May,Q1,2019
51,2019-05-01,8494,425344246.0,0,0.0,Sangareddy,May,Q1,2019
52,2019-05-01,414,4902685.0,0,0.0,Kumurambheem Asifabad,May,Q1,2019
53,2019-05-01,2392,21224914.0,0,0.0,Jogulamba Gadwal,May,Q1,2019
54,2019-05-01,2809,20217773.0,0,0.0,Wanaparthy,May,Q1,2019
55,2019-05-01,31310,2027201202.0,0,0.0,Rangareddy,May,Q1,2019
56,2019-05-01,5210,754708131.0,0,0.0,Hyderabad,May,Q1,2019
57,2019-05-01,4301,73344601.0,0,0.0,Mahabubnagar,May,Q1,2019
58,2019-05-01,1554,27369396.0,0,0.0,Peddapalli,May,Q1,2019
59,2019-05-01,2097,23745502.0,0,0.0,Rajanna Sircilla,May,Q1,2019
60,2019-05-01,5395,151385340.0,0,0.0,Hanumakonda,May,Q1,2019
61,2019-05-01,2347,26915352.0,0,0.0,Vikarabad,May,Q1,2019
62,2019-05-01,1468,19541233.0,0,0.0,Mahabubabad,May,Q1,2019
63,2019-05-01,16036,1231074513.0,0,0.0,Medchal_Malkajgiri,May,Q1,2019
64,2019-05-01,3460,53073454.0,0,0.0,Suryapet,May,Q1,2019
65,2019-06-01,1701,12770293.0,0,0.0,Narayanpet,Jun,Q1,2019
66,2019-06-01,3276,63248165.0,0,0.0,Karimnagar,Jun,Q1,2019
67,2019-06-01,5625,50053613.0,0,0.0,Siddipet,Jun,Q1,2019
68,2019-06-01,5015,746210249.0,0,0.0,Hyderabad,Jun,Q1,2019
69,2019-06-01,4541,141468882.0,0,0.0,Hanumakonda,Jun,Q1,2019
70,2019-06-01,1994,26534317.0,0,0.0,Mancherial,Jun,Q1,2019
71,2019-06-01,2053,33732651.0,0,0.0,Peddapalli,Jun,Q1,2019
72,2019-06-01,1276,14677798.0,0,0.0,Warangal,Jun,Q1,2019
73,2019-06-01,9280,106077226.0,0,0.0,Yadadri Bhuvanagiri,Jun,Q1,2019
74,2019-06-01,24084,2089441609.0,0,0.0,Rangareddy,Jun,Q1,2019
75,2019-06-01,4267,29213266.0,0,0.0,Nagarkurnool,Jun,Q1,2019
76,2019-06-01,1392,18292822.0,0,0.0,Mahabubabad,Jun,Q1,2019
77,2019-06-01,3319,46934818.0,0,0.0,Suryapet,Jun,Q1,2019
78,2019-06-01,8251,388914751.0,0,0.0,Sangareddy,Jun,Q1,2019
79,2019-06-01,520,5626095.0,0,0.0,Kumurambheem Asifabad,Jun,Q1,2019
80,2019-06-01,1860,20888875.0,0,0.0,Nirmal,Jun,Q1,2019
81,2019-06-01,2527,17696126.0,0,0.0,Wanaparthy,Jun,Q1,2019
82,2019-06-01,5049,99823253.0,0,0.0,Khammam,Jun,Q1,2019
83,2019-06-01,3565,50331243.0,0,0.0,Mahabubnagar,Jun,Q1,2019
84,2019-06-01,705,13006275.0,0,0.0,Bhadradri Kothagudem,Jun,Q1,2019
85,2019-06-01,11808,942570587.0,0,0.0,Medchal_Malkajgiri,Jun,Q1,2019
86,2019-06-01,824,11443194.0,0,0.0,Adilabad,Jun,Q1,2019
87,2019-06-01,2613,45801812.0,0,0.0,Medak,Jun,Q1,2019
88,2019-06-01,2766,34975070.0,0,0.0,Jangoan,Jun,Q1,2019
89,2019-06-01,5258,66957257.0,0,0.0,Nizamabad,Jun,Q1,2019
90,2019-06-01,7146,104282218.0,0,0.0,Nalgonda,Jun,Q1,2019
91,2019-06-01,2388,27212704.0,0,0.0,Rajanna Sircilla,Jun,Q1,2019
92,2019-06-01,3595,34889349.0,0,0.0,Kamareddy,Jun,Q1,2019
93,2019-06-01,2672,32368172.0,0,0.0,Jagtial,Jun,Q1,2019
94,2019-06-01,721,6553495.0,0,0.0,Mulugu,Jun,Q1,2019
95,2019-06-01,2072,29390216.0,0,0.0,Vikarabad,Jun,Q1,2019
96,2019-06-01,1753,24300464.0,0,0.0,Jogulamba Gadwal,Jun,Q1,2019
97,2019-07-01,3210,38094533.0,0,0.0,Jangoan,Jul,Q2,2019
98,2019-07-01,2635,31158113.0,0,0.0,Vikarabad,Jul,Q2,2019
99,2019-07-01,1022,9855642.0,0,0.0,Mulugu,Jul,Q2,2019
100,2019-07-01,4709,70377544.0,0,0.0,Suryapet,Jul,Q2,2019
101,2019-07-01,29063,1762830038.0,0,0.0,Rangareddy,Jul,Q2,2019
102,2019-07-01,8928,115173858.0,0,0.0,Nalgonda,Jul,Q2,2019
103,2019-07-01,5749,74149259.0,0,0.0,Nizamabad,Jul,Q2,2019
104,2019-07-01,1186,17853370.0,0,0.0,Adilabad,Jul,Q2,2019
105,2019-07-01,5056,58994710.0,0,0.0,Mahabubnagar,Jul,Q2,2019
106,2019-07-01,5575,47714647.0,0,0.0,Siddipet,Jul,Q2,2019
107,2019-07-01,3835,32920357.0,0,0.0,Kamareddy,Jul,Q2,2019
108,2019-07-01,9448,134999011.0,0,0.0,Yadadri Bhuvanagiri,Jul,Q2,2019
109,2019-07-01,5892,152570326.0,0,0.0,Hanumakonda,Jul,Q2,2019
110,2019-07-01,2127,22890600.0,0,0.0,Nirmal,Jul,Q2,2019
111,2019-07-01,3460,22968808.0,0,0.0,Wanaparthy,Jul,Q2,2019
112,2019-07-01,4185,28345301.0,0,0.0,Nagarkurnool,Jul,Q2,2019
113,2019-07-01,2236,34112815.0,0,0.0,Peddapalli,Jul,Q2,2019
114,2019-07-01,2434,33016334.0,0,0.0,Mancherial,Jul,Q2,2019
115,2019-07-01,2187,16498551.0,0,0.0,Narayanpet,Jul,Q2,2019
116,2019-07-01,5573,658623385.0,0,0.0,Hyderabad,Jul,Q2,2019
117,2019-07-01,504,5472687.0,0,0.0,Kumurambheem Asifabad,Jul,Q2,2019
118,2019-07-01,2413,25639647.0,0,0.0,Rajanna Sircilla,Jul,Q2,2019
119,2019-07-01,1858,19590782.0,0,0.0,Mahabubabad,Jul,Q2,2019
120,2019-07-01,1451,17966223.0,0,0.0,Warangal,Jul,Q2,2019
121,2019-07-01,3106,35101355.0,0,0.0,Jagtial,Jul,Q2,2019
122,2019-07-01,3068,22574155.0,0,0.0,Jogulamba Gadwal,Jul,Q2,2019
123,2019-07-01,3675,69644228.0,0,0.0,Karimnagar,Jul,Q2,2019
