district,documents_registered_rev,estamps_challans_rev,total_revenue,revenue_category,revenue_percentage
Adilabad,720926384.0,723003081.0,1443929465.0,Medium Revenue District,0.37642855760377336
Bhadradri Kothagudem,534180926.0,540722552.0,1074903478.0,Low Revenue District,0.28022446774214094
Hanumakonda,4895047216.0,4959670232.0,9854717448.0,High Revenue District,2.569098535947792
Hyderabad,24977902615.0,25267992981.0,50245895596.0,High Revenue District,13.098970873007337
Jagtial,1069526503.0,1079332319.0,2148858822.0,Medium Revenue District,0.5602017594811001
Jangoan,733613593.0,747428965.0,1481042558.0,Medium Revenue District,0.3861038418921265
Jogulamba Gadwal,601645197.0,603996030.0,1205641227.0,Low Revenue District,0.31430744996069004
Kamareddy,851578792.0,859661958.0,1711240750.0,Medium Revenue District,0.4461158961357571
Karimnagar,2619104284.0,2633977624.0,5253081908.0,High Revenue District,1.3694644326708283
Khammam,3615169800.0,3646844602.0,7262014402.0,High Revenue District,1.8931877719128674
Kumurambheem Asifabad,136257292.0,133420327.0,269677619.0,Low Revenue District,0.07030423548991706
Mahabubabad,658996063.0,666572041.0,1325568104.0,Low Revenue District,0.3455720667036105
Mahabubnagar,1960011646.0,1981371785.0,3941383431.0,Medium Revenue District,1.0275081407073727
Mancherial,1086538493.0,1105983406.0,2192521899.0,Medium Revenue District,0.5715846071160104
Medak,1122517735.0,1146081195.0,2268598930.0,Medium Revenue District,0.5914176860442165
Medchal_Malkajgiri,42244415731.0,42344075412.0,84588491143.0,High Revenue District,22.051993869963063
Mulugu,364959327.0,369302299.0,734261626.0,Low Revenue District,0.19142004611629784
Nagarkurnool,878634232.0,881618696.0,1760252928.0,Medium Revenue District,0.4588932401243427
Nalgonda,2586636489.0,2600080824.0,5186717313.0,Medium Revenue District,1.3521633598848326
Narayanpet,461888320.0,468512790.0,930401110.0,Low Revenue District,0.2425530860887652
Nirmal,633940671.0,639557126.0,1273497797.0,Low Revenue District,0.33199747664702783
Nizamabad,2592723703.0,2614662871.0,5207386574.0,Medium Revenue District,1.357551781060216
Peddapalli,1110412457.0,1126687326.0,2237099783.0,Medium Revenue District,0.5832059424941538
Rajanna Sircilla,744571024.0,750209633.0,1494780657.0,Medium Revenue District,0.38968532763373637
Rangareddy,69563226936.0,70682297387.0,140245524323.0,High Revenue District,36.56163386851573
Sangareddy,14617585438.0,14782041561.0,29399626999.0,High Revenue District,7.664404289528451
Siddipet,1741861752.0,1762872744.0,3504734496.0,Medium Revenue District,0.9136749287912533
Suryapet,1802987342.0,1818082431.0,3621069773.0,Medium Revenue District,0.9440032250003382
Vikarabad,887185451.0,906189501.0,1793374952.0,Medium Revenue District,0.4675280633767635
Wanaparthy,743833686.0,746269937.0,1490103623.0,Medium Revenue District,0.3884660373531798
Warangal,426435218.0,424814165.0,851249383.0,Low Revenue District,0.22191844211988015
Yadadri Bhuvanagiri,3787070881.0,3801870232.0,7588941113.0,High Revenue District,1.9784166928864244
