id,month,sector,investment_in_cr,number_of_employees,district,mmm,quarter,fiscal_year
1,2019-04-01,Engineering,2.32,15,Mahabubnagar,Apr,Q1,2019
2,2019-04-01,Engineering,0.63,13,Adilabad,Apr,Q1,2019
3,2019-04-01,Wood and Leather,0.2,8,Rajanna Sircilla,Apr,Q1,2019
4,2019-04-01,Textiles,0.27,27,Rajanna Sircilla,Apr,Q1,2019
5,2019-04-01,Electrical and Electronic Products,0.12,5,Mahabubabad,Apr,Q1,2019
6,2019-04-01,Plastic and Rubber,0.15,4,Rajanna Sircilla,Apr,Q1,2019
7,2019-04-01,Paper and Printing,0.2,10,Rajanna Sircilla,Apr,Q1,2019
8,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,3,Nirmal,Apr,Q1,2019
9,2019-04-01,Engineering,0.03,0,Nirmal,Apr,Q1,2019
10,2019-04-01,Food Processing,2.02,12,Rajanna Sircilla,Apr,Q1,2019
11,2019-04-01,Engineering,0.16,6,Rajanna Sircilla,Apr,Q1,2019
12,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.62,28,Rajanna Sircilla,Apr,Q1,2019
13,2019-04-01,Plastic and Rubber,1.29,19,Nalgonda,Apr,Q1,2019
14,2019-04-01,Pharmaceuticals and Chemicals,3.0,20,Nalgonda,Apr,Q1,2019
15,2019-04-01,Granite and Stone Crushing,0.82,30,Nalgonda,Apr,Q1,2019
16,2019-04-01,Food Processing,1.25,20,Nalgonda,Apr,Q1,2019
17,2019-04-01,Agro based incl Cold Storages,0.2,10,Nalgonda,Apr,Q1,2019
18,2019-04-01,Agro based incl Cold Storages,0.56,24,Rajanna Sircilla,Apr,Q1,2019
19,2019-04-01,Agro based incl Cold Storages,0.2,5,Vikarabad,Apr,Q1,2019
20,2019-04-01,Food Processing,0.06,5,Vikarabad,Apr,Q1,2019
21,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.37,99,Adilabad,Apr,Q1,2019
22,2019-04-01,Food Processing,0.23,10,Nagarkurnool,Apr,Q1,2019
