id,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,brand_new_vehicles,pre_owned_vehicles,category_non_transport,category_transport,district,mmm,quarter,fiscal_year
1,2019-04-01,17910,3011,76,22,15308,4429,0,4,1278,16110,4182,717,19542,1477,19856,1163,Rangareddy,Apr,Q1,2019
2,2019-04-01,3066,306,6,0,2995,142,49,64,128,3156,189,33,3322,56,3203,175,Kamareddy,Apr,Q1,2019
3,2019-04-01,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Rajanna Sircilla,Apr,Q1,2019
4,2019-04-01,1961,281,2,0,1939,72,72,48,113,2082,146,16,2209,35,2075,169,Jangoan,Apr,Q1,2019
5,2019-04-01,1552,309,0,0,1512,76,69,109,95,1696,145,20,1820,41,1701,160,Jayashankar Bhupalpally,Apr,Q1,2019
6,2019-04-01,4550,660,0,0,4431,264,193,84,238,4714,450,44,5104,106,4802,408,Mahabubnagar,Apr,Q1,2019
7,2019-04-01,3112,496,0,0,3038,233,70,72,195,3276,279,53,3470,138,3353,255,Siddipet,Apr,Q1,2019
8,2019-04-01,2200,496,0,0,2160,110,74,162,190,2483,194,19,2645,51,2440,256,Nagarkurnool,Apr,Q1,2019
9,2019-04-01,1736,263,2,9,1678,121,55,70,86,1806,173,31,1980,30,1879,131,Nirmal,Apr,Q1,2019
10,2019-04-01,2033,173,0,0,2017,67,22,47,53,2111,87,8,2162,44,2134,72,Jogulamba Gadwal,Apr,Q1,2019
11,2019-04-01,2066,350,4,5,1993,146,62,69,155,2181,208,34,2371,54,2222,203,Peddapalli,Apr,Q1,2019
12,2019-04-01,3636,877,6,2,3502,341,481,74,123,3666,796,59,4412,109,3928,593,Vikarabad,Apr,Q1,2019
13,2019-04-01,2006,367,9,14,1924,178,112,12,170,2081,295,20,2330,66,2128,268,Mancherial,Apr,Q1,2019
14,2019-04-01,4656,744,2,12,4481,330,92,200,311,4947,399,68,5294,120,5035,379,Nalgonda,Apr,Q1,2019
15,2019-04-01,3295,676,1,2,3192,202,113,120,347,3606,295,71,3911,63,3526,448,Suryapet,Apr,Q1,2019
16,2019-04-01,2786,440,2,0,2720,135,106,121,146,2951,245,30,3120,108,2986,242,Jagtial,Apr,Q1,2019
17,2019-04-01,2468,470,2,12,2398,198,56,81,219,2679,236,37,2899,53,2690,262,Yadadri Bhuvanagiri,Apr,Q1,2019
